code,name,station_type,physical_code,location_hint
QR-01,Estação 01,permanent,,Local a definir
QR-02,Estação 02,permanent,,Local a definir
QR-03,Estação 03,permanent,,Local a definir
QR-04,Estação 04,permanent,,Local a definir
QR-05,Estação 05,permanent,,Local a definir
QR-06,Estação 06,permanent,,Local a definir
QR-07,Estação 07,permanent,,Local a definir
QR-08,Estação 08,permanent,,Local a definir
QR-09,Estação 09,permanent,,Local a definir
QR-10,Estação 10,permanent,,Local a definir
QR-11,Estação 11,permanent,,Local a definir
QR-12,Estação 12,permanent,,Local a definir
QR-13,Estação 13,permanent,,Local a definir
QR-14,Estação 14,permanent,,Local a definir
QR-15,Estação 15,permanent,,Local a definir
